2025-11-16T06:03:48.000000000Z [inf]  Starting Container
2025-11-16T06:03:58.374023394Z [inf]   * Serving Flask app 'api'
2025-11-16T06:03:58.374028156Z [inf]   * Debug mode: on
2025-11-16T06:03:58.374032479Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-11-16T06:03:58.374036933Z [err]   * Running on all addresses (0.0.0.0)
2025-11-16T06:03:58.374041245Z [err]   * Running on http://127.0.0.1:8000
2025-11-16T06:03:58.374047967Z [err]   * Running on http://10.159.162.117:8000
2025-11-16T06:03:58.374052974Z [err]  [33mPress CTRL+C to quit[0m
2025-11-16T06:03:58.374057811Z [err]   * Restarting with watchdog (inotify)
2025-11-16T06:04:06.560517533Z [err]   * Debugger is active!
2025-11-16T06:04:06.560526474Z [err]   * Debugger PIN: 117-467-893
2025-11-16T06:04:06.771032060Z [err]  100.64.0.4 - - [16/Nov/2025 06:04:06] "GET /admin HTTP/1.1" 200 -
2025-11-16T06:04:06.771041260Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T06:04:06.771048086Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T06:04:06.771054812Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T06:04:06.771062438Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T06:04:06.771068483Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-16T06:04:06.771074513Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:06] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T06:04:07.500268595Z [err]  100.64.0.2 - - [16/Nov/2025 06:04:07] "GET /api/market-header HTTP/1.1" 200 -
2025-11-16T06:04:09.604078981Z [err]  100.64.0.4 - - [16/Nov/2025 06:04:09] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-16T06:04:09.604209615Z [err]  100.64.0.4 - - [16/Nov/2025 06:04:09] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-16T06:04:14.931865444Z [inf]  ✓ Opinion.trade SDK initialized (wallet: 0x43C9bAd451ed65b5268cec681FCe42AdA00Fc675)
2025-11-16T06:04:14.932185108Z [err]  [2025-11-16 06:04:14] [INFO] [ADMIN] Daily cycle manually triggered from 100.64.0.4 at 2025-11-16T06:04:14.511511
2025-11-16T06:04:14.932195591Z [err]  [2025-11-16 06:04:14] [INFO] [BANKROLL MODE] TEST - Initial: $50.0, Daily limit: $5.0
2025-11-16T06:04:15.988244741Z [inf]  [DEBUG] Opinion.trade API response - errno: 0, has result: True
2025-11-16T06:04:15.988251403Z [inf]  [DEBUG] Opinion.trade returned 15 raw markets from API
2025-11-16T06:04:16.009369215Z [err]  100.64.0.4 - - [16/Nov/2025 06:04:16] "GET /admin/logs?password=replityzeus1997&lines=500 HTTP/1.1" 200 -
2025-11-16T06:04:16.009385504Z [err]  INFO:werkzeug:100.64.0.4 - - [16/Nov/2025 06:04:16] "GET /admin/logs?password=replityzeus1997&lines=500 HTTP/1.1" 200 -
2025-11-16T06:04:18.832184646Z [inf]  [INFO] Opinion.trade API: Retrieved 15 active markets (skipped 0 without YES/NO tokens)
